,AREA,AUDIENCE,NAME,RANK,RATING,TAGS,URL,YEAR
873,['中国大陆'],10174,生门,874,8.7,"['纪录片', '人性', '医疗', '中国纪录片', '社会', '生死', '医学', '中国大陆']",https://movie.douban.com/subject/26836588/,2016
874,"['英国', '美国']",348,污秽与愤怒 The Filth and the Fury,875,8.7,"['纪录片', '摇滚', '性手枪', '英国', '音乐', '英国电影', 'Sid', '记录片']",https://movie.douban.com/subject/1477191/,2000
875,['韩国'],166,"1980年5月，蓝眼睛的目击者 80? 5?, ???? ???",876,8.7,"['纪录片', '韩国', '光州事件', '历史', 'KBS', '2003', '韩国电影', '韩国纪录片']",https://movie.douban.com/subject/26897043/,0
876,['日本'],316,天海祐希：西班牙热情的女郎们 天海祐希 スペイン情熱の女たち,877,8.7,"['天海祐希', '纪录片', '日本', '西班牙', '天海佑希', '女王', 'NHK', '2013']",https://movie.douban.com/subject/24298403/,2013
877,['香港'],623,走过浮华大地 走過浮華大地,878,8.7,"['TVB', '纪录片', '黄翠如', '洪永城', '香港', '旅游', '综艺', '旅遊']",https://movie.douban.com/subject/24284172/,2013
878,['英国'],686,垃圾勇士 Garbage Warrior,879,8.7,"['纪录片', '环保', '建筑', '美国', '英国', '记录片', 'Documentary', '建筑发明']",https://movie.douban.com/subject/3021213/,2007
879,['香港'],179,冷暖人生,880,9.2,"['纪录片', '凤凰卫视', '访谈', '人性', '香港', '中国', '电视节目', '脱口秀']",https://movie.douban.com/subject/25986100/,2005
880,['中国大陆'],908,激变玄武门,881,8.7,"['纪录片', '历史', '中国', '玄武门', '中国历史', '李世民', '大陆', '唐朝']",https://movie.douban.com/subject/26022241/,2014
881,['英国'],470,与古兽同行 Walking with Beasts,882,8.7,"['纪录片', '英国', '自然', '与兽同行', '记录片', 'documentary', '2001', '纪录片-生物世界']",https://movie.douban.com/subject/1421878/,2001
882,['日本'],383,历史秘话 歴史秘話ヒストリア,883,8.7,"['纪录片', '日本', '历史', '日本历史', 'NHK', 'NHK纪录片', '2009', '纪录片系列']",https://movie.douban.com/subject/4002447/,2009
883,['英国'],198,史前公园 Prehistoric Park,884,8.7,"['纪录片', '恐龙', '英国', 'BBC', '自然', '科学', '科幻', '记录']",https://movie.douban.com/subject/2069610/,2006
884,['德国'],1277,快乐的人们 Happy People: A Year in the Taiga,885,8.7,"['纪录片', '德国', '俄罗斯', '赫尔佐格', '自然', '2010', '德国电影', 'WernerHerzog']",https://movie.douban.com/subject/6536657/,2010
885,['英国'],3279,传奇字体 Helvetica,886,8.7,"['纪录片', '设计', '字体', 'Helvetica', '英国', '艺术', 'typography', 'Design']",https://movie.douban.com/subject/1937190/,2007
886,['日本'],375,纪实72小时 名古屋地下商业街 圣诞之夜的失物 ドキュメント72時間 名古屋 地下街?聖なる夜の忘れ物,887,8.7,"['纪录片', '日本', 'NHK', '纪实72小时', '2015', 'ドキュメント72時間', '2014', '社会']",https://movie.douban.com/subject/26383514/,2015
887,['日本'],383,手塚治虫 创作的秘密 NHK特集 手塚治虫?創作の秘密,888,8.7,"['纪录片', '手塚治虫', 'NHK', '日本', '漫画家', '漫画', '1986', '?NHK纪录片']",https://movie.douban.com/subject/4145496/,1986
888,['美国'],137,三十天 30 Days Season 1,889,8.8,"['纪录片', '美国', '美国电影', 'realityshow', 'Documentary', '2005', 'SonychenReviews', '电影']",https://movie.douban.com/subject/2068327/,2005
889,['美国'],22677,难以忽视的真相 An Inconvenient Truth,890,8.7,"['纪录片', '环保', '美国', '戈尔', '难以忽视的真相', '2006', '记录片', '人文']",https://movie.douban.com/subject/1474405/,2006
890,['香港'],160,回味．Twins,891,8.8,"['twins', '纪录片', '阿sa', '香港', '阿娇', '蔡卓妍', '钟欣潼', '综艺']",https://movie.douban.com/subject/26636158/,2015
